"tipo_selecao","sigma_p","encounters_n","n_reps","Metrica","Gen_1","Gen_50","Delta","Delta_pct"
"uniform",1.2,10,8,"Centralization",0.0157103621172955,0.0130298526613697,-0.0026805094559258,-17.0620475576106
"uniform",1.2,10,8,"I_s",0.298639755505717,0.344984932522439,0.0463451770167222,15.5187566833629
"uniform",1.2,10,8,"Modularity",0.62097022777968,0.648507623720639,0.0275373959409593,4.43457587965546
"uniform",1.2,10,8,"Nestedness",0.842090601040423,0.687950160707292,-0.154140440333131,-18.3044959939805
"uniform",1.2,10,8,"varz_males",0.743542949370608,0.0810948927480062,-0.662448056622602,-89.09344876222
"uniform",1.2,10,8,"zbar_males",4.99188930854866,5.00046605291215,0.0085767443634861,0.171813592677192
"gaussian",1.2,10,8,"Centralization",0.0161584151059742,0.0111279893365253,-0.00503042576944893,-31.1319256032051
"gaussian",1.2,10,8,"I_s",0.411742836572509,0.447477638118386,0.0357348015458765,8.67891275130503
"gaussian",1.2,10,8,"Modularity",0.739214070685165,0.789727291157037,0.0505132204718722,6.83336836717034
"gaussian",1.2,10,8,"Nestedness",0.661639717400654,0.55686169869768,-0.104778018702974,-15.8361138165359
"gaussian",1.2,10,8,"varz_males",0.728117126994089,0.0770666994110145,-0.651050427583074,-89.4156178238559
"gaussian",1.2,10,8,"zbar_males",5.00076522840616,5.00314230856031,0.00237708015415006,0.0475343281593661
"sigmoid",1.2,10,8,"Centralization",0.0218245587404955,0.0163444334645475,-0.00548012527594798,-25.109901836318
"sigmoid",1.2,10,8,"I_s",0.604861524774247,0.319111384891262,-0.285750139882985,-47.242241104629
"sigmoid",1.2,10,8,"Modularity",0.672781074092195,0.636540770649519,-0.036240303442676,-5.38664133671956
"sigmoid",1.2,10,8,"Nestedness",0.852927831577455,0.823365081603199,-0.0295627499742559,-3.46603181181001
"sigmoid",1.2,10,8,"varz_males",0.7104987224015,0.0750530351668162,-0.635445687234684,-89.4365700035131
"sigmoid",1.2,10,8,"zbar_males",4.99896578261685,5.79998188492176,0.801016102304906,16.0236364307657
"u-shaped",1.2,10,8,"Centralization",0.017963211811186,0.0139607267552278,-0.0040024850559582,-22.2815668936542
"u-shaped",1.2,10,8,"I_s",0.311041563895717,0.375974437990522,0.0649328740948055,20.8759476648515
"u-shaped",1.2,10,8,"Modularity",0.60341512488258,0.693099121323525,0.0896839964409448,14.8627359081191
